Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-03-27,,0.0,
2008-04-03,1.0,-0.24383999999999997,-0.24383999999999997
2008-04-10,3.0,65.33388,65.57772
2008-04-18,1.0,65.33388,0.0
2008-04-24,1.0,65.33388,0.0
2008-05-01,1.0,65.33388,0.0
2008-05-08,1.0,65.33388,0.0
2008-05-15,1.0,65.33388,0.0
2008-05-22,1.0,65.33388,0.0
2008-05-29,1.0,65.33388,0.0
2008-06-05,1.0,65.33388,0.0
2008-06-19,1.0,65.33388,0.0
2008-07-02,1.0,65.33388,0.0
2008-07-17,1.0,65.33388,0.0
2008-07-31,1.0,65.33388,0.0
2008-08-19,1.0,65.33388,0.0
2008-09-18,1.0,65.33388,0.0
2008-10-02,1.0,65.33388,0.0
2008-10-30,1.0,65.33388,0.0
