Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-03-27,,0.0,
2008-04-03,1.0,0.10667999999999998,0.10667999999999998
2008-04-10,3.0,109.83468,109.728
2008-04-18,3.0,116.50979999999998,6.675119999999986
2008-04-24,2.0,117.82044,1.3106400000000136
2008-05-01,1.0,116.205,-1.6154400000000024
2008-05-08,1.0,117.04319999999998,0.8381999999999866
2008-05-15,1.0,115.88495999999999,-1.1582399999999853
2008-05-22,2.0,117.04319999999998,1.1582399999999853
2008-05-29,1.0,115.1382,-1.9049999999999818
2008-06-05,1.0,113.0046,-2.1336000000000133
2008-06-19,2.0,117.13463999999999,4.130040000000007
2008-07-02,1.0,115.15343999999999,-1.9812000000000074
2008-07-17,1.0,114.81816,-0.3352799999999856
2008-07-31,1.0,114.16284,-0.6553200000000068
2008-08-19,1.0,113.96471999999999,-0.198120000000012
2008-09-18,3.0,134.84351999999998,20.878800000000002
2008-10-02,2.0,136.18464,1.34112000000001
2008-10-30,1.0,137.17524,0.9905999999999924
2008-12-01,3.0,151.18079999999998,14.005560000000003
