Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2014-10-24,,0.0,
2014-11-21,1.0,0.6858,0.6858
2014-12-30,1.0,0.64008,-0.04571999999999998
2015-01-29,1.0,0.35052,-0.28956
2015-03-03,1.0,-0.015239999999999998,-0.36576
2015-04-03,1.0,-0.6858,-0.6705599999999999
2015-05-05,2.0,0.45719999999999994,1.1429999999999998
2015-06-08,1.0,1.35636,0.89916
2015-09-17,3.0,10.957559999999999,9.6012
2015-10-02,2.0,12.99972,2.0421600000000004
2015-10-29,2.0,17.084039999999998,4.084319999999998
2015-11-30,1.0,17.053559999999997,-0.030479999999999462
2016-01-05,2.0,18.37944,1.3258800000000006
2016-02-05,2.0,19.62912,1.2496800000000006
2016-03-04,1.0,20.0406,0.4114799999999998
2016-04-05,1.0,20.20824,0.16763999999999846
2016-05-05,1.0,21.000719999999998,0.7924800000000001
2016-06-03,1.0,21.59508,0.5943599999999993
2016-09-07,3.0,38.67912,17.084039999999998
2016-12-07,3.0,51.876960000000004,13.197840000000006
2017-03-08,2.0,54.2544,2.3774399999999973
2017-06-08,1.0,54.498239999999996,0.2438399999999957
2017-07-13,3.0,76.35239999999999,21.854159999999993
2017-09-19,1.0,76.8096,0.45720000000000605
2017-12-18,1.0,75.55992,-1.2496799999999977
2018-03-19,1.0,73.97496,-1.584960000000006
2018-06-19,3.0,80.39099999999999,6.416040000000003
2018-09-18,3.0,85.96883999999999,5.577839999999995
