Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-05-08,,0.0,
2008-05-08,1.0,-0.22859999999999997,-0.22859999999999997
2008-05-14,1.0,0.51816,0.74676
2008-05-21,1.0,-0.44195999999999996,-0.96012
2008-05-28,1.0,0.51816,0.96012
2008-06-05,1.0,0.8839199999999999,0.36575999999999986
2008-06-19,1.0,0.7772399999999999,-0.10667999999999997
2008-07-02,1.0,1.66116,0.8839199999999999
2008-07-17,2.0,2.69748,1.03632
2008-07-31,1.0,2.56032,-0.13716000000000003
2008-08-14,2.0,5.12064,2.56032
2008-08-28,3.0,18.928079999999998,13.807439999999998
2008-09-18,2.0,21.36648,2.4383999999999992
2008-10-02,1.0,21.85416,0.48768000000000267
2008-10-30,2.0,24.490679999999998,2.6365199999999973
2008-12-01,3.0,61.28003999999999,36.789359999999995
