Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-05-08,,0.0,
2008-05-08,1.0,0.19812,0.19812
2008-05-14,2.0,2.77368,2.57556
2008-05-21,2.0,5.0292,2.25552
2008-05-28,2.0,6.9646799999999995,1.9354799999999996
2008-06-04,2.0,8.260079999999999,1.2953999999999997
2008-06-19,2.0,13.21308,4.953
2008-07-02,2.0,17.31264,4.099559999999999
2008-07-17,2.0,18.98904,1.6764000000000014
2008-07-31,3.0,25.16124,6.172199999999999
2008-08-14,2.0,27.828239999999997,2.6669999999999967
2008-08-28,3.0,43.02252,15.194280000000001
2008-09-18,3.0,54.16296,11.140440000000002
2008-10-02,3.0,61.43244,7.26948
2008-10-30,3.0,98.26751999999999,36.83507999999999
2008-12-01,1.0,98.26751999999999,0.0
