Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2018-06-28,,0.0,
2018-07-02,2.0,1.2192,1.2192
2018-09-10,1.0,0.9905999999999999,-0.22860000000000003
2018-12-03,2.0,3.4594799999999997,2.4688799999999995
2019-03-04,3.0,11.82624,8.36676
2019-06-04,2.0,13.091159999999999,1.2649199999999987
2019-09-03,1.0,13.15212,0.06096000000000174
2019-12-11,1.0,12.20724,-0.9448800000000003
2020-03-16,2.0,17.03832,4.831079999999997
2020-07-20,1.0,16.824959999999997,-0.21335999999999905
2021-01-19,2.0,18.34896,1.5240000000000014
2021-07-19,2.0,21.44268,3.0937199999999976
