Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2018-12-04,,0.0,
2019-03-05,1.0,-1.47828,-1.47828
2019-06-05,2.0,0.35052,1.8288000000000002
2019-09-04,3.0,6.995159999999999,6.64464
2019-12-11,1.0,4.83108,-2.1640799999999993
2020-03-17,1.0,2.7889199999999996,-2.0421600000000004
2020-07-20,2.0,4.495799999999999,1.7068799999999997
2020-10-13,1.0,4.38912,-0.10667999999999953
2021-01-20,1.0,2.1793199999999997,-2.2098
2021-04-19,1.0,2.14884,-0.030480000000000167
2021-07-19,1.0,2.92608,0.77724
