Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-05-08,,0.0,
2008-05-08,1.0,-0.030479999999999997,-0.030479999999999997
2008-05-14,2.0,4.206239999999999,4.23672
2008-05-21,2.0,9.083039999999999,4.876799999999999
2008-05-28,2.0,13.472159999999999,4.38912
2008-06-05,2.0,18.45564,4.983480000000001
2008-06-19,3.0,27.752039999999997,9.296399999999998
2008-07-02,3.0,35.478719999999996,7.72668
2008-07-17,3.0,44.02836,8.54964
2008-07-31,3.0,51.876960000000004,7.848600000000004
2008-08-14,3.0,59.54267999999999,7.66571999999999
2008-08-28,3.0,69.60108,10.058400000000008
2008-09-18,3.0,77.23631999999999,7.635239999999993
2008-10-02,1.0,71.20128,-6.03504
2008-10-30,3.0,77.51064,6.309360000000004
2008-12-01,1.0,74.29499999999999,-3.2156400000000067
2009-01-06,1.0,66.46164,-7.8333599999999945
