Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2010-03-18,,0.0,
2010-03-23,1.0,-0.62484,-0.62484
2010-04-01,2.0,2.3621999999999996,2.98704
2010-04-28,1.0,1.24968,-1.11252
2010-08-11,1.0,-0.28956,-1.53924
2010-11-17,2.0,3.4594799999999997,3.7490399999999995
2011-03-01,1.0,3.9776399999999996,0.51816
2011-06-16,3.0,69.00672,65.02908
2011-06-27,1.0,69.86016,0.8534399999999962
2011-07-11,2.0,72.22236,2.362199999999999
2011-08-11,1.0,71.73468,-0.48768000000000267
2011-09-13,2.0,75.49896,3.7642800000000025
2011-10-25,1.0,71.67372,-3.825239999999996
2011-11-29,2.0,73.10628,1.43256
2012-01-10,3.0,85.69452,12.58824
2012-01-25,1.0,83.07324,-2.6212800000000045
