Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2010-03-18,,0.0,
2010-03-23,2.0,1.61544,1.61544
2010-04-01,2.0,4.419599999999999,2.8041599999999995
2010-04-28,1.0,3.67284,-0.7467599999999995
2010-08-11,2.0,5.501639999999999,1.8287999999999993
2010-11-17,2.0,7.924799999999999,2.42316
2011-03-01,1.0,7.34568,-0.5791199999999996
2011-06-16,3.0,48.905159999999995,41.55948
2011-06-27,1.0,48.204119999999996,-0.7010400000000017
2011-07-11,2.0,52.53228,4.328160000000002
2011-08-11,1.0,51.09972,-1.43256
2011-09-13,1.0,51.72456,0.6248399999999988
2011-10-25,1.0,48.88992,-2.834639999999998
2011-11-29,2.0,51.98364,3.0937200000000034
2012-01-10,2.0,53.91911999999999,1.9354799999999899
2012-01-25,3.0,87.75192,33.832800000000006
