Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-03-27,,0.0,
2008-04-03,2.0,1.28016,1.28016
2008-04-10,3.0,86.60892,85.32875999999999
2008-04-18,3.0,93.55836,6.94943999999999
2008-04-24,1.0,94.13748,0.5791200000000039
2008-05-01,1.0,92.52203999999999,-1.6154400000000024
2008-05-08,1.0,93.25356000000001,0.7315200000000096
2008-05-15,1.0,92.964,-0.2895600000000019
2008-05-22,1.0,93.69552,0.7315199999999984
2008-05-29,1.0,94.35083999999999,0.6553199999999955
2008-06-05,1.0,94.97568,0.6248399999999988
2008-06-19,1.0,95.0976,0.12192000000000913
2008-07-02,1.0,94.70136,-0.3962400000000015
2008-07-17,1.0,94.57943999999999,-0.12192000000000913
2008-07-31,1.0,95.0976,0.5181600000000106
2008-08-19,2.0,96.774,1.6763999999999957
2008-09-18,3.0,116.18975999999999,19.41575999999999
2008-10-02,2.0,117.24132,1.0515600000000083
2008-10-30,2.0,119.03964,1.7983200000000048
2008-12-01,3.0,127.97027999999999,8.930639999999986
