Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2018-07-02,,0.0,
2018-09-10,3.0,6.18744,6.18744
2018-12-03,1.0,4.99872,-1.1887200000000002
2019-03-04,2.0,9.00684,4.008120000000001
2019-06-04,1.0,8.412479999999999,-0.5943600000000008
2019-09-03,1.0,8.0772,-0.3352799999999997
2019-12-11,2.0,9.250680000000001,1.1734800000000005
2020-03-16,2.0,12.37488,3.1241999999999996
2020-07-20,2.0,14.75232,2.3774399999999987
2021-01-19,2.0,16.03248,1.28016
2021-07-19,2.0,17.2212,1.1887200000000016
