Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2010-03-18,,0.0,
2010-03-24,1.0,-0.015239999999999998,-0.015239999999999998
2010-03-31,1.0,0.19812,0.21335999999999997
2010-06-08,2.0,1.41732,1.2192
2010-09-23,1.0,1.9811999999999999,0.5638799999999999
2010-12-29,2.0,3.0175199999999998,1.03632
2010-12-29,1.0,3.2156399999999996,0.19811999999999969
2011-03-31,2.0,4.861559999999999,1.6459199999999998
2011-08-03,2.0,5.98932,1.1277600000000005
2011-11-10,1.0,6.6293999999999995,0.64008
2012-02-06,1.0,7.010400000000001,0.38100000000000034
2012-05-09,1.0,7.74192,0.7315199999999997
2012-11-19,1.0,8.488679999999999,0.7467599999999995
2013-05-16,3.0,18.928079999999998,10.4394
2013-12-03,1.0,19.11096,0.1828799999999996
2014-06-09,2.0,20.924519999999998,1.8135600000000003
2015-01-29,2.0,22.570439999999998,1.6459199999999992
2015-08-06,2.0,25.252679999999998,2.6822400000000006
2016-02-05,2.0,27.23388,1.9812000000000016
2016-08-05,2.0,29.47416,2.240280000000001
2017-03-08,3.0,36.469319999999996,6.995159999999996
2017-09-19,3.0,46.101,9.63168
2018-03-19,2.0,47.48784,1.3868399999999994
2018-09-18,2.0,51.831239999999994,4.343400000000001
2019-03-20,3.0,60.243719999999996,8.412479999999999
2019-09-16,2.0,62.20967999999999,1.9659599999999977
2019-12-19,1.0,62.407799999999995,0.19812000000000074
2020-05-07,2.0,67.33031999999999,4.922519999999999
2020-11-18,2.0,68.71715999999999,1.3868400000000052
2021-05-20,2.0,70.40879999999999,1.691639999999994
