Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-05-08,,0.0,
2008-05-08,1.0,0.64008,0.64008
2008-05-14,2.0,2.57556,1.93548
2008-05-21,2.0,4.8768,2.30124
2008-05-28,2.0,6.72084,1.84404
2008-06-05,2.0,8.96112,2.24028
2008-06-19,2.0,12.05484,3.0937200000000002
2008-07-02,2.0,15.864840000000001,3.8100000000000005
2008-07-17,2.0,18.22704,2.362199999999999
2008-07-31,2.0,20.924519999999998,2.6974799999999988
2008-08-14,2.0,24.947879999999998,4.023359999999999
2008-08-28,2.0,28.895039999999998,3.9471599999999993
2008-09-18,3.0,36.02736,7.1323200000000035
2008-10-02,2.0,40.21836,4.190999999999995
2008-10-30,3.0,53.99531999999999,13.776959999999999
2008-12-01,3.0,78.44028,24.444960000000002
2009-01-06,3.0,232.98912,154.54883999999998
