Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2009-07-14,,0.0,
2009-08-17,1.0,-0.10667999999999998,-0.10667999999999998
2009-10-05,1.0,-0.38099999999999995,-0.27432
2009-11-03,1.0,0.42671999999999993,0.8077199999999998
2010-01-22,2.0,3.2003999999999997,2.77368
2010-05-06,2.0,4.8463199999999995,1.6459199999999998
2010-08-04,1.0,4.282439999999999,-0.5638799999999999
2010-11-04,2.0,6.76656,2.4841200000000003
2011-02-08,1.0,5.013959999999999,-1.7526000000000008
2011-05-09,2.0,6.49224,1.47828
2011-08-23,1.0,6.49224,0.0
2011-11-22,1.0,5.85216,-0.64008
2012-02-23,2.0,7.58952,1.7373600000000002
2012-05-23,1.0,7.72668,0.1371600000000004
2012-08-22,1.0,7.940039999999999,0.21335999999999905
2012-11-20,1.0,7.559039999999999,-0.38100000000000034
2013-03-08,3.0,13.7922,6.233160000000002
2013-06-17,1.0,14.142719999999999,0.35051999999999806
