Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2013-04-05,,0.0,
2013-04-12,1.0,0.56388,0.56388
2013-05-15,1.0,0.89916,0.33527999999999997
2013-07-09,1.0,0.25908,-0.64008
2013-08-16,1.0,-0.09144,-0.35052
2013-09-17,2.0,0.96012,1.0515599999999998
2013-10-18,1.0,0.6705599999999999,-0.28956
2013-11-22,1.0,-0.33527999999999997,-1.0058399999999998
2014-01-02,3.0,5.74548,6.08076
2014-02-03,1.0,5.19684,-0.5486400000000001
2014-03-04,3.0,11.03376,5.83692
2014-04-08,3.0,47.1678,36.13404
2014-05-06,3.0,54.879239999999996,7.711440000000002
2014-06-12,3.0,60.380880000000005,5.501640000000003
2014-07-15,1.0,60.35039999999999,-0.03048000000000792
2014-08-14,1.0,61.28003999999999,0.9296399999999991
2014-09-16,1.0,61.798199999999994,0.5181599999999993
2014-10-15,1.0,59.8932,-1.9049999999999931
2014-11-18,2.0,61.98107999999999,2.0878799999999957
2014-12-18,1.0,60.685680000000005,-1.2953999999999926
