Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2010-05-19,,0.0,
2010-08-12,2.0,1.11252,1.11252
2010-12-06,2.0,3.23088,2.11836
2011-03-23,2.0,6.7818,3.55092
2011-06-23,2.0,8.275319999999999,1.493519999999999
2011-10-21,2.0,11.56716,3.291840000000001
2012-01-23,2.0,12.60348,1.0363199999999986
2012-05-11,2.0,15.194279999999997,2.5907999999999993
2012-08-15,2.0,18.15084,2.9565600000000014
2012-11-28,2.0,19.70532,1.5544800000000008
2013-02-21,2.0,21.9456,2.2402799999999985
2013-05-22,3.0,27.980639999999998,6.035039999999998
2013-08-21,1.0,28.590239999999998,0.6096000000000005
2013-11-20,2.0,29.96184,1.371600000000001
2014-02-21,2.0,31.59252,1.6306800000000008
2014-05-29,3.0,41.86428,10.271760000000002
2014-08-29,2.0,44.33316,2.4688799999999986
2014-12-03,1.0,45.32376,0.990599999999998
2015-03-11,2.0,48.752759999999995,3.429
2015-06-17,2.0,53.4162,4.663440000000005
2015-09-16,1.0,54.39156,0.975359999999994
2015-12-17,2.0,56.007,1.6154400000000024
2016-03-16,2.0,59.496959999999994,3.489959999999999
2016-06-15,2.0,61.84392,2.346960000000001
2016-09-14,3.0,67.10172,5.257799999999996
2016-12-14,2.0,68.29044,1.1887200000000044
2017-03-15,3.0,94.80803999999999,26.517599999999998
2017-06-14,2.0,97.91699999999999,3.1089599999999957
2017-09-07,2.0,102.00131999999998,4.08431999999999
2017-12-07,2.0,103.12908,1.1277600000000112
2018-03-07,3.0,108.67644,5.547359999999998
2018-06-07,3.0,123.15444,14.478000000000007
2018-09-12,1.0,119.7102,-3.444240000000004
2018-12-05,2.0,124.28219999999999,4.571999999999993
2019-03-06,3.0,136.9314,12.649200000000006
2019-06-06,3.0,147.81276,10.881359999999997
2019-09-05,2.0,150.98268,3.169920000000012
2019-12-13,2.0,155.15843999999998,4.1757599999999915
2020-03-18,3.0,181.49316,26.334720000000008
2020-07-22,3.0,199.04963999999998,17.556479999999983
2020-10-13,1.0,194.38619999999997,-4.663440000000005
2021-01-21,1.0,193.6242,-0.7619999999999837
