Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-05-14,,0.0,
2008-05-22,1.0,-0.64008,-0.64008
2008-05-28,1.0,-0.74676,-0.10667999999999997
2008-06-04,2.0,0.80772,1.55448
2008-06-19,1.0,0.96012,0.15239999999999995
2008-07-02,1.0,0.73152,-0.22860000000000003
2008-07-17,1.0,0.7772399999999999,0.04571999999999998
2008-07-31,1.0,1.08204,0.3048
2008-08-14,1.0,1.7221199999999999,0.64008
2008-08-28,3.0,32.20212,30.479999999999997
2008-09-18,3.0,52.8066,20.604480000000002
2008-10-02,1.0,53.24856,0.4419599999999964
2008-10-30,3.0,82.14359999999999,28.895039999999998
2008-12-01,3.0,112.02923999999999,29.885639999999988
