Date,Slip Category,Displacements (mm),Change in Displacement (mm)
4/6/2007,,0,
6/12/2007,1,-0.70104,-0.70104
9/11/2007,2,0.54864,1.24968
12/4/2007,2,2.63652,2.08788
3/25/2008,2,4.37388,1.73736
6/16/2008,1,2.69748,-1.6764
9/15/2008,2,5.12064,2.42316
2/26/2009,2,7.4676,2.34696
6/9/2009,2,10.92708,3.45948
9/22/2009,2,12.31392,1.38684
4/28/2010,2,16.21536,3.90144
8/10/2010,1,15.37716,-0.8382
11/17/2010,2,20.14728,4.77012
3/1/2011,2,21.57984,1.43256
6/15/2011,2,24.85644,3.2766
10/19/2011,2,28.89504,4.0386
1/24/2012,2,30.80004,1.905
5/1/2012,2,31.86684,1.0668
8/13/2012,1,30.6324,-1.23444
11/26/2012,2,33.13176,2.49936
2/19/2013,2,34.80816,1.6764
5/20/2013,1,35.79876,0.9906
8/19/2013,1,36.51504,0.71628
11/18/2013,2,38.9382,2.42316
2/19/2014,2,40.5384,1.6002
5/27/2014,1,41.3004,0.762
8/18/2014,1,41.97096,0.67056
12/1/2014,1,42.9768,1.00584
3/9/2015,2,44.60748,1.63068
6/15/2015,1,45.339,0.73152
9/14/2015,1,45.70476,0.36576
12/15/2015,2,48.17364,2.46888
6/13/2016,2,51.49596,3.32232
9/12/2016,2,52.89804,1.40208
12/12/2016,2,54.39156,1.49352
3/13/2017,2,58.15584,3.76428
6/12/2017,1,56.79948,-1.35636
3/5/2018,3,62.69736,5.89788
