Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2019-03-22,,0.0,
2019-03-28,1.0,0.18288,0.18288
2019-04-04,1.0,0.35052,0.16763999999999998
2019-04-11,1.0,0.9296399999999999,0.57912
2019-04-25,3.0,33.89376,32.96412
2019-05-09,2.0,35.93592,2.0421600000000004
2019-05-23,2.0,39.73068,3.7947599999999992
2019-06-05,2.0,41.05656,1.3258800000000006
2019-07-09,1.0,41.02608,-0.030480000000002283
2019-08-09,1.0,41.28516,0.25907999999999964
2019-09-04,1.0,41.391839999999995,0.10667999999999953
2019-10-10,1.0,41.42232,0.030480000000002283
2019-11-08,2.0,43.5864,2.1640799999999984
2019-12-11,2.0,46.83252,3.2461200000000034
2020-01-06,3.0,103.12908,56.29656
,3.0,,
