Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2008-05-01,,0.0,
2008-05-01,1.0,-0.0762,-0.0762
2008-05-08,3.0,7.40664,7.48284
2008-05-14,3.0,12.63396,5.227319999999999
2008-05-21,2.0,17.205959999999997,4.571999999999999
2008-05-28,2.0,20.63496,3.429
2008-06-04,2.0,24.383999999999997,3.7490399999999986
2008-06-19,3.0,32.18688,7.802880000000003
2008-07-02,3.0,37.642799999999994,5.455919999999996
2008-07-17,3.0,44.07408,6.431280000000002
2008-07-31,3.0,49.362359999999995,5.2882799999999985
2008-08-14,3.0,55.107839999999996,5.745479999999999
2008-08-28,3.0,71.33844,16.230600000000006
2008-09-18,3.0,86.68512,15.34667999999999
2008-10-02,3.0,93.77172,7.086600000000009
2008-10-30,2.0,95.00616,1.2344399999999993
2008-12-01,3.0,102.74808,7.741920000000004
