Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2010-05-19,,0.0,
2010-08-12,1.0,0.39624,0.39624
2010-11-29,1.0,-0.030479999999999997,-0.42671999999999993
2010-12-06,1.0,0.12191999999999999,0.15239999999999998
2011-03-23,2.0,2.71272,2.5908
2011-06-23,2.0,4.1148,1.40208
2011-10-21,1.0,4.8768,0.7619999999999999
2012-01-23,1.0,4.98348,0.10668000000000023
2012-05-11,2.0,7.2237599999999995,2.2402799999999994
2012-08-15,1.0,7.696199999999999,0.47244000000000014
2012-11-28,1.0,8.031479999999998,0.3352799999999997
2013-02-21,2.0,9.951719999999998,1.92024
2013-05-22,3.0,15.346679999999997,5.394959999999999
2013-08-21,1.0,16.27632,0.9296400000000019
2013-11-20,1.0,15.499079999999998,-0.7772400000000018
2014-02-21,2.0,17.602199999999996,2.1031199999999997
2014-05-29,3.0,35.631119999999996,18.028920000000003
2014-08-29,2.0,37.155120000000004,1.5240000000000014
2014-12-03,1.0,36.789359999999995,-0.3657600000000048
2015-03-11,2.0,38.785799999999995,1.99644
2015-06-17,3.0,45.4914,6.7056
2015-09-16,1.0,46.31435999999999,0.8229599999999996
2015-12-17,1.0,45.674279999999996,-0.6400799999999971
2016-03-16,3.0,51.70932,6.03504
2016-06-15,2.0,55.199279999999995,3.489959999999999
2016-09-14,1.0,54.864,-0.3352799999999969
2016-12-14,1.0,54.7878,-0.07620000000000288
2017-03-15,2.0,57.60719999999999,2.8193999999999937
2017-06-14,2.0,61.05143999999999,3.444240000000004
2017-09-07,2.0,62.66688,1.6154400000000024
2017-12-07,1.0,63.1698,0.502920000000001
2018-03-07,2.0,65.92824,2.7584400000000007
2018-06-07,3.0,72.4662,6.537960000000002
2018-09-12,1.0,72.90816,0.4419599999999964
2018-12-05,1.0,72.28332,-0.6248399999999988
2019-03-06,3.0,87.06612,14.782799999999995
2019-06-06,3.0,92.43059999999998,5.364479999999995
2019-09-05,2.0,96.14916,3.7185600000000076
2019-12-13,1.0,94.21368,-1.935480000000001
2020-07-22,1.0,88.30055999999999,-5.913120000000003
